institution,rank_unique,pct_unique,rank_first_author,pct_first_author,rank_fractional,pct_fractional
Tsinghua University,1,6.2,1,3.25,1,2.52
Shanghai Jiao Tong University,2,4.48,3,2.43,3,1.75
Zhejiang University,3,4.33,2,2.48,2,1.82
Peking University,4,4.28,4,2.13,5,1.63
Stanford University,5,3.3,8,1.72,6,1.61
NUS,6,3.23,11,1.53,8,1.39
Carnegie Mellon University,7,3.12,7,1.74,4,1.65
MIT,8,3.12,9,1.72,7,1.54
University of Hong Kong,9,2.84,17,0.97,19,1.0
HKUST,10,2.76,14,1.08,18,1.0
USTC,11,2.76,6,1.77,11,1.16
Fudan University,12,2.74,12,1.27,15,1.01
Microsoft,13,2.67,21,0.9,10,1.26
CUHK,14,2.6,36,0.65,26,0.8
NTU Singapore,15,2.56,24,0.82,20,0.95
Alibaba,16,2.52,27,0.77,16,1.01
Shanghai AI Lab,17,2.52,43,0.56,29,0.76
UCAS,18,2.24,5,1.79,12,1.03
UC Berkeley,19,2.13,18,0.95,14,1.02
Huawei,20,2.07,59,0.41,21,0.9
KAIST,21,2.05,10,1.61,9,1.3
Nanjing University,22,2.05,15,1.08,22,0.9
ByteDance,23,2.0,32,0.69,25,0.84
University of Oxford,24,1.94,16,1.05,13,1.02
Meta,25,1.92,33,0.69,23,0.9
UIUC,26,1.85,13,1.18,24,0.88
Tencent,27,1.76,52,0.45,36,0.62
Harvard University,28,1.55,37,0.62,27,0.79
Harbin Institute of Technology,29,1.55,19,0.93,32,0.71
Seoul National University,30,1.47,20,0.93,17,1.0
